"A. Overholt Monongahela Mash Straight Rye Whiskey","","Caramel, subtle layers of sandalwood and caraway","Brown butter, honeysuckle, clove, seasoned oak","Pleasant, lingering notes of warm rich baking spice","A. Overholt official tasting notes"
"Penelope Barrel Strength Bourbon","","Cherry, raspberry tart, dried orange slices, butterscotch, black pepper, antique closet","Sweet syrup up front, bold flavors of herbs and spice, grain, dusty oak, earthy warehouse floor","","Whisky Advocate (Summer 2020, reviewed by David Fleming)"
"Penelope Four Grain Bourbon","","Balanced corn sweetness, caramel, light oak, syrup, dynamic aroma profile with slight savory notes","Fruit, syrup, candied sweetness, and a savory vanilla note with slight berry and citrus","Slight buttercream (icing) and corn bread finish with a lingering vanilla spice","Penelope Bourbon official product description"
"Powers Rye Irish Whiskey","<cite index=""3-7"">Bright gold</cite>","<cite index=""8-1"">Burnt orange, maraschino cherries, and toffee banana with rich warming notes of freshly baked rye bread, buttered croissants and charred oak</cite>","<cite index=""18-8"">Candied ginger with orange peel, clove spice and peppermint</cite>","<cite index=""3-18,3-19,3-20"">Begins sweetly but becomes spicier and more drying with time. Golden syrup, chocolate and luscious fruitiness fade to give an earthier and robust feel. Cereals and warming peppery spices come to the fore before the drying oak sweeps in right at the end</cite>","Producer (powerswhiskey.com) and Whisky For Everyone"
"Rabbit Hole Dareringer Sherry Cask","<cite index=""1-16"">Deep auburn with a hint of crimson</cite>","<cite index=""3-9"">Sherry and cherry</cite>","<cite index=""3-10"">Raisins and currants coupled with hints of almond and vanilla</cite>","<cite index=""5-2"">Light with a touch of dryness</cite>","Rabbit Hole Distillery, Seelbach's"
"Rabbit Hole Founder's Collection Dareringer","","Custard, walnut, brown sugar and baking spices","Refined and smooth with notes of cinnamon, oak, tobacco and stone fruit with blackcurrant, cherry and lemon","Medium-to-long finish of toffee and pecans with a kiss of light spice","Rabbit Hole Distillery"
"Rampur Trigun Indian Single Malt Travel Exclusive","","Amalgamation of fruity aromas, tropical fruit, crispiness","Mélange of malts, fruity, smooth","","Rampur Distillery official website"
"Redbreast 12 Year Cask Strength Pot Still Irish Whiskey","","Golden sultana, fragrant spice, dried orange slices, star anise, baked apricot, hints of chocolate","Malty coppery pot still with caramel, toffee, bananas foster, light pear and Almond Roca","Exceedingly long, rich complexity of spices and fruit, fading through butterscotch to barley","Distiller's notes, The Whiskey Jug, Don's Liquors & Wine"
"River Roots - ""The Land"" #101","","","","",""
"Rowan's Creek Bourbon","Deep amber","Caramel and vanilla layered on herbal and floral notes","Sweet caramel, vanilla, dusted in floral notes","Oak and a lingering spiciness","Kentucky Bourbon Distillers / InternetWines"
"Smoke Wagon Uncut Unfiltered Straight Bourbon","dark amber","Brown sugar, caramel, toasted oak, vanilla, and baking spice","Full-bodied with layers of toffee, cinnamon, dark fruit, rye spice, and leather","Long, bold, and warming with lingering spice, oak, and sweet caramel","The Barrel Tap"
"Southern Comfort Original","","Vanilla, lemon, oranges, and cinnamon","Cherries, vanilla, simple syrup, and cloves","Short, sweet, a little peaches","Whiskey Apostle; Award Robe of Whisky"
"Standard Proof Cinnamon Spiced Whiskey","","Bright cinnamon","Hint of tamarind along with some toasted wheat","","Bartender Spirits Awards"
"Standard Proof Ginger Root Rye","","","Bold rye whiskey with warm ginger spice","","standardproofwhiskey.com"
"Talisker Distillers Edition Double Matured Amoroso Sherry Cask","Coppery golden","Red fruits, berries and apricots, sea salt, peat","Sweet fruity flavors with sea salt, peat and vanilla","Lingering, elegant with sweet oily smoke and cacao","Caskers/Whiskey Exchange/Difford's Guide"
"Teeling Blackpitts","","BBQ Smoke, Cloves, Butterscotch and Orange Peel","Applewood Smoke, Honey, All Spice, Stewed Pears & Grilled Pineapple","Salted Caramel, Wood & Savory Smoke","Teeling Whiskey official"
"Three Chord Strange Collaboration Kentucky Straight Bourbon Whiskey","<cite index=""4-12"">Glaze doughnut color</cite>","<cite index=""6-7,6-8"">Complex red fruit. Cherry, currant, fresh strawberries and raspberries</cite>","<cite index=""6-9"">Notes of Pinot Noir, followed by oak, spice and vanilla</cite>","<cite index=""9-9"">Copper Red</cite>","Producer and The Bourbon Road"
"Traveller Full Proof Whiskey","Tawny, caramel, amber","Intense and aromatic with amplified notes of deep vanilla, aged stone fruit, and buttery shortbread","Bold and viscous. A massive wave of toasted nut, dark caramel, and spicy oak hits the palate, balanced by a surprising sweetness","Long, warming, and robust with lingering layers of leather, spice, and toasted marshmallow","Nestor Liquor (producer tasting notes)"
"Traverse City Signature Edition Barrel Proof Bourbon","Ruddy copper","Oak, chalky cocoa, dried dark fruit, spiced orange peels, nuts, caramel, sugar cookies","Oak, nut, powdered cocoa, dried dark fruit, spiced orange peels, caramel, subtle leather","Long, oak, dried dark fruit, caramel, sugar cookies","The Bourbon Finder / The Whiskey Jug (producer notes)"
"True Story Finished Bourbon","","<cite index=""8-1,8-2"">Honeysuckle, caramel-dipped apples, and toasted oak with light floral notes</cite>","<cite index=""8-8"">Rich vanilla, dark caramel, and baked spice, elevated with layers of white exotic fruits and floral elegance</cite>","<cite index=""8-10"">Honeyed fruit meets warm oak and a whisper of spice</cite>","True Story Whiskey official website"
"True Story Finished Rye","White matte","Warm baking spices and golden honey, followed by dried fruits, cinnamon, and pepper","Peppery heat from high-rye mash, raisin, fig, dark caramel, warm nutty spice","Spiced oak and dried fruit easing into smooth, honeyed warmth","True Story Whiskey official website"
"Tullamore Dew Special Reserve 12 year","light gold","<cite index=""5-1"">Aromas of early spice followed by red wine while a nice nuttiness follows before a light woody note</cite>","<cite index=""5-2"">Deep spice flavor with a robust yet creamy body cloaked in a definite chocolaty note</cite>","<cite index=""5-10"">Long and rich with some citrus, chocolate, raisins and marzipan all lingering</cite>","Vine Republic"
"Tyrconnell 10 Year Sherry Cask","dark pink","Warm sherry and raisins, orchard fruit, apple, plum, sultanas, roasted nuts","Oak with vanilla, butterscotch, plum, dried apricot, baking spice","Baking spice and whiff of smoke","The Liquor Barn, Wine Enthusiast"
"1792 Small Batch Kentucky Straight Bourbon Whiskey","Caramel","Vanilla, brandied cherries, custard sweetness, dry orange rind, fresh red apples","Intense spice, fresh fruit, crème caramel","Roasted corn, rye spice, hazelnuts, lingering throat warmth","Whisky of the Week, Whiskey for the Ages"
"VDC Goose Island Bourbon County Stout Cask Finish","gold","Brown sugar, coffee beans, honeycomb, cocoa, malty sweetness, hazelnuts","Malty chocolate, citrus, cinnamon, hazelnuts, honey, nutmeg, cocoa, ginger","Dry wood fading to cocoa","Virginia Distillery Company (producer) / Whiskey Reviewer"
"Waterford Cuvee Koffi Irish Whisky","<cite index=""8-5"">Amber gold with light like a coral sunrise</cite>","<cite index=""10-1"">Crisp red apples and rye bran, with mixed herbs, white pepper and lavender</cite>","<cite index=""10-2"">Orange marmalade and chilli chocolate, punctuated by liquorice and biscuits</cite>","<cite index=""8-9"">Long and dry gentle spiciness that lasts and leads to mouth-watering with dried fruits</cite>","Irish Malts and The Umbrella Project"
"Waterford Irish Whisky Sfo Rathclogh","<cite index=""14-3"">A deep gold</cite>","<cite index=""10-14"">Fields and barnyard, black pepper; hay that's ready to be brought in; blackcurrant jam, warm vanilla, butterscotch, honeycomb, citrus zest</cite>","<cite index=""10-15"">Sweet stewed apple, berry compote, pepper, mince pie, black cherries, cocoa</cite>","<cite index=""10-16"">Has warmth with a gentle spice that drifts on with a little butterscotch</cite>","Waterford"
"Weller Single Barrel","Tawny/Brown","Cherry and mint, fading to vanilla","Caramel and baking spices with hints of cocoa","Cinnamon, coffee, and a hint of pepper","Producer (Sazerac/Buffalo Trace)"
"Western Reserve Small Batch Blended Bourbon","","Cedar, floral, brown sugar","Cinnamon, white pepper, bold spice","Lingering warmth with caramel, vanilla spice, oak","Main Street Liquor"
"Widow Jane 10 Year Bourbon","red-brown mahogany","vanilla, cinnamon, nutmeg, cream, oak","sweet cream, vanilla, spiced notes; orange, cherry, maple, almond","lingering oak and spice","Whisky Monster"
"Woodford Reserve Batch Proof","","","Sweet toasted oak, cocoa, juicy pineapple, dried strawberry, spiced berries","Dried strawberry, toasted oak, raw honey","Woodford Reserve"
"Woodford Reserve Blended Malt Sherry Cask Finish 2024 Release","Deep amber with ruby undertones","Dried fruit, raisin, fig, toasted almond, and subtle spice","Roasted coffee, orange oil, raisin, dried fig, hints of tobacco leaf","Sweet toasted malt and dried dark fruit","Woodford Reserve official tasting notes / Whiskey Caviar"
"Woodford Reserve Distillery Series 2024 Blended Malt Whiskey","Orange honey","Raspberry preserves, nutty malt, pumpkin spice, orange peel","Candied nutty malt, raw oak, citrus oils","Fruit-laden finish balanced with allspice","Woodford Reserve official tasting notes"
"Writers' Tears Red Head Irish Whiskey","<cite index=""5-6"">Rich Ruby Red</cite>","<cite index=""6-8"">Orange peel, dried fruits & sherry plums</cite>","<cite index=""6-9"">Nutty Oloroso, spicy raisins & creamy oak</cite>","<cite index=""6-4"">Long & complex with a flourish of orange</cite>","Producer tasting notes"
